,val,id,line,startPosition,endPosition
0,def,12,1,0,4
1,feb,69,1,4,8
2,(,46,1,7,8
3,x,70,1,8,10
4,),47,1,9,10
5,:,55,1,10,11
6,if,23,2,4,7
7,x,70,2,7,9
8,==,58,2,8,10
9,1,71,2,10,11
10,:,55,2,11,12
11,return,5,3,8,15
12,1,71,3,15,16
13,else,27,4,4,9
14,:,55,4,8,9
15,return,5,5,8,15
16,feb,69,5,15,19
17,(,46,5,18,19
18,x,70,5,19,21
19,-,37,5,20,21
20,1,71,5,21,22
21,),47,5,22,23
22,+,36,5,23,24
23,feb,69,5,24,28
24,(,46,5,27,28
25,x,70,5,28,30
26,-,37,5,29,30
27,2,72,5,30,31
28,),47,5,31,32
29,def,12,7,0,4
30,do,73,7,4,7
31,(,46,7,6,7
32,),47,7,7,8
33,:,55,7,8,9
34,for,8,8,4,8
35,i,74,8,8,10
36,in,32,8,10,13
37,range,75,8,13,19
38,(,46,8,18,19
39,1,71,8,19,20
40,",",76,8,20,21
41,200,77,8,21,24
42,),47,8,24,25
43,:,55,8,25,26
44,print,78,9,8,14
45,'num is ',79,9,14,24
46,+,36,9,23,24
47,i,74,9,24,26
48,str,80,10,0,4
49,=,34,10,3,4
50,''',54,10,4,8
51,hahalalala,0,0,11,12
52,''',54,13,0,4
53,feb,69,14,0,4
54,(,46,14,3,4
55,lambda,9,14,4,11
56,x,70,14,11,13
57,:,55,14,12,13
58,x,70,14,13,15
59,+,36,14,14,15
60,1,71,14,15,16
61,),47,14,16,17
